NATS=   2400
1.0
 0.0          28.809599 0.0          28.809599 0.0          28.809599
 H        14.051441        2.546749       26.026493
 O        14.992999        2.601071       26.026493
 H        15.168075        1.674340       26.026493
 H        21.287653       17.802576       10.728416
 O        22.229212       17.856899       10.728416
 H        22.404285       16.930168       10.728416
 H         4.326826        2.648753       18.873196
 O         5.268384        2.703075       18.873196
 H         5.443459        1.776345       18.873196
 H        10.140037       22.880943       21.898977
 O        11.081594       22.935266       21.898977
 H        11.256670       22.008535       21.898977
 H         1.875893       28.026693       12.234295
 O         2.817451       28.081017       12.234295
 H         2.992526       27.154285       12.234295
 H        13.230753       23.189972       15.879577
 O        14.172311       23.244295       15.879577
 H        14.347386       22.317564       15.879577
 H         1.856851        9.416625        5.661052
 O         2.798408        9.470947        5.661052
 H         2.973483        8.544216        5.661052
 H        12.275957       26.573429        6.135920
 O        13.217515       26.627752        6.135920
 H        13.392591       25.701021        6.135920
 H        12.158386       24.499681       22.368237
 O        13.099944       24.554005       22.368237
 H        13.275020       23.627274       22.368237
 H        20.737782       28.000332       13.986523
 O        21.679340       28.054655       13.986523
 H        21.854414       27.127924       13.986523
 H        23.809782        5.758369        5.111179
 O        24.751341        5.812691        5.111179
 H        24.926414        4.885960        5.111179
 H        22.473713        1.021937       25.618877
 O        23.415272        1.076259       25.618877
 H        23.590345        0.149528       25.618877
 H        15.268002       10.737667        5.892315
 O        16.209560       10.791989        5.892315
 H        16.384634        9.865258        5.892315
 H        27.688374        2.910633       27.378632
 O        28.629932        2.964955       27.378632
 H        28.805006        2.038224       27.378632
 H         6.520758       28.225988       19.568800
 O         7.462316       28.280312       19.568800
 H         7.637391       27.353580       19.568800
 H         2.194374       12.520991        1.473186
 O         3.135932       12.575314        1.473186
 H         3.311007       11.648582        1.473186
 H         5.267767       24.645414       24.620329
 O         6.209324       24.699738       24.620329
 H         6.384400       23.773006       24.620329
 H        13.635935       27.057497       20.488012
 O        14.577493       27.111820       20.488012
 H        14.752568       26.185089       20.488012
 H         6.666491        1.668482       12.466954
 O         7.608048        1.722804       12.466954
 H         7.783124        0.796073       12.466954
 H         1.251541       19.022480       13.139493
 O         2.193098       19.076803       13.139493
 H         2.368174       18.150072       13.139493
 H         1.177880        3.191591        3.398158
 O         2.119437        3.245913        3.398158
 H         2.294512        2.319182        3.398158
 H         2.826881       14.578114        6.397889
 O         3.768439       14.632436        6.397889
 H         3.943514       13.705705        6.397889
 H        27.930014       27.983923       16.415060
 O        28.871572       28.038246       16.415060
 H        29.046646       27.111515       16.415060
 H        17.157227       18.844076        2.065938
 O        18.098785       18.898399        2.065938
 H        18.273859       17.971668        2.065938
 H         4.705600        8.429261        2.395108
 O         5.647157        8.483583        2.395108
 H         5.822233        7.556852        2.395108
 H        16.753733        7.507248       17.576864
 O        17.695292        7.561570       17.576864
 H        17.870365        6.634839       17.576864
 H         6.564008        8.099691       17.641788
 O         7.505566        8.154014       17.641788
 H         7.680641        7.227283       17.641788
 H         7.638108        2.855506       23.673479
 O         8.579665        2.909828       23.673479
 H         8.754741        1.983097       23.673479
 H        20.434912       14.765665        2.885020
 O        21.376471       14.819987        2.885020
 H        21.551544       13.893256        2.885020
 H        28.195433       13.273342        8.331288
 O        29.136992       13.327664        8.331288
 H        29.312065       12.400933        8.331288
 H        22.365921       20.427319        5.902084
 O        23.307480       20.481642        5.902084
 H        23.482553       19.554911        5.902084
 H        21.466042       25.938513        1.146673
 O        22.407600       25.992836        1.146673
 H        22.582674       25.066105        1.146673
 H        23.375834        0.731399       19.645462
 O        24.317392        0.785721       19.645462
 H        24.492466       -0.141010       19.645462
 H        16.895084       12.024908       14.953389
 O        17.836643       12.079230       14.953389
 H        18.011717       11.152499       14.953389
 H        25.391258       23.250113        9.098639
 O        26.332817       23.304436        9.098639
 H        26.507891       22.377705        9.098639
 H        14.206645       22.100679       17.999945
 O        15.148203       22.155003       17.999945
 H        15.323278       21.228271       17.999945
 H        20.472033       10.210746        8.725122
 O        21.413591       10.265068        8.725122
 H        21.588665        9.338337        8.725122
 H        22.328661       23.643948        9.657803
 O        23.270220       23.698271        9.657803
 H        23.445293       22.771540        9.657803
 H         2.580571       24.708355       18.862566
 O         3.522129       24.762678       18.862566
 H         3.697204       23.835947       18.862566
 H        18.177467       18.721876       16.739460
 O        19.119026       18.776199       16.739460
 H        19.294100       17.849468       16.739460
 H        18.092443        8.018347        9.792145
 O        19.034002        8.072669        9.792145
 H        19.209076        7.145938        9.792145
 H         0.216030       25.430017       12.160173
 O         1.157588       25.484341       12.160173
 H         1.332663       24.557610       12.160173
 H        16.912600       18.267340       22.496935
 O        17.854158       18.321663       22.496935
 H        18.029232       17.394932       22.496935
 H        20.357374       21.783411       19.445414
 O        21.298933       21.837734       19.445414
 H        21.474007       20.911003       19.445414
 H        14.259106       12.515337        9.677485
 O        15.200664       12.569659        9.677485
 H        15.375739       11.642928        9.677485
 H        11.788694        7.340709        3.494194
 O        12.730252        7.395030        3.494194
 H        12.905328        6.468299        3.494194
 H         4.054135       15.619803        8.681935
 O         4.995693       15.674126        8.681935
 H         5.170768       14.747395        8.681935
 H         8.985815        5.609741       24.363750
 O         9.927373        5.664063       24.363750
 H        10.102448        4.737332       24.363750
 H         8.686624       28.092783       23.197165
 O         9.628181       28.147106       23.197165
 H         9.803257       27.220375       23.197165
 H        18.218086        5.197073       20.427561
 O        19.159645        5.251395       20.427561
 H        19.334719        4.324664       20.427561
 H         6.716901       26.656792        9.987423
 O         7.658458       26.711115        9.987423
 H         7.833534       25.784384        9.987423
 H        24.725145        3.540367       10.723279
 O        25.666704        3.594689       10.723279
 H        25.841778        2.667958       10.723279
 H        13.560005       18.634792        4.853604
 O        14.501563       18.689116        4.853604
 H        14.676639       17.762384        4.853604
 H         9.243115        6.242867       22.198874
 O        10.184673        6.297188       22.198874
 H        10.359749        5.370457       22.198874
 H        18.010984       28.016205       27.413445
 O        18.952543       28.070528       27.413445
 H        19.127617       27.143797       27.413445
 H        25.956406        8.556704        7.400737
 O        26.897964        8.611026        7.400737
 H        27.073038        7.684295        7.400737
 H        27.284506       12.219777       26.611006
 O        28.226065       12.274099       26.611006
 H        28.401138       11.347368       26.611006
 H        12.895117        4.013764       16.438133
 O        13.836675        4.068086       16.438133
 H        14.011750        3.141355       16.438133
 H        11.519389       25.180286       24.380308
 O        12.460947       25.234610       24.380308
 H        12.636023       24.307878       24.380308
 H         5.020399        2.936881        6.447332
 O         5.961957        2.991203        6.447332
 H         6.137032        2.064472        6.447332
 H        15.249666        4.214173        2.964111
 O        16.191225        4.268495        2.964111
 H        16.366299        3.341764        2.964111
 H        23.349703       19.851116       26.721298
 O        24.291262       19.905439       26.721298
 H        24.466335       18.978708       26.721298
 H         3.408623        6.495575        5.650509
 O         4.350181        6.549897        5.650509
 H         4.525256        5.623166        5.650509
 H         1.530145       18.794157       22.287214
 O         2.471703       18.848480       22.287214
 H         2.646778       17.921749       22.287214
 H        25.831512        9.063492       16.732056
 O        26.773071        9.117814       16.732056
 H        26.948145        8.191083       16.732056
 H        23.101337       25.216763       20.323860
 O        24.042896       25.271086       20.323860
 H        24.217970       24.344355       20.323860
 H         0.198017       14.609189       23.731449
 O         1.139575       14.663511       23.731449
 H         1.314650       13.736780       23.731449
 H        22.748251       25.811535       18.171930
 O        23.689810       25.865858       18.171930
 H        23.864883       24.939127       18.171930
 H         9.694294       13.180305       16.992233
 O        10.635852       13.234628       16.992233
 H        10.810927       12.307897       16.992233
 H        27.882504       11.879519       17.264378
 O        28.824062       11.933841       17.264378
 H        28.999136       11.007110       17.264378
 H        13.605721       13.368874       20.222921
 O        14.547279       13.423196       20.222921
 H        14.722355       12.496465       20.222921
 H        12.510320       13.712628        7.496617
 O        13.451878       13.766951        7.496617
 H        13.626953       12.840219        7.496617
 H        10.463818        9.550687       22.156858
 O        11.405375        9.605009       22.156858
 H        11.580451        8.678278       22.156858
 H        26.985941       24.454285        3.918169
 O        27.927500       24.508608        3.918169
 H        28.102573       23.581877        3.918169
 H        19.295322        3.157249       26.011089
 O        20.236881        3.211571       26.011089
 H        20.411955        2.284840       26.011089
 H         7.617213       21.147982        4.043688
 O         8.558770       21.202305        4.043688
 H         8.733846       20.275574        4.043688
 H        16.619131       17.389845       20.079777
 O        17.560690       17.444168       20.079777
 H        17.735764       16.517437       20.079777
 H         6.144020       11.505740       27.035191
 O         7.085577       11.560062       27.035191
 H         7.260653       10.633331       27.035191
 H        27.033541       13.392469        4.272606
 O        27.975100       13.446792        4.272606
 H        28.150173       12.520061        4.272606
 H         7.243435        2.109197       17.471508
 O         8.184993        2.163519       17.471508
 H         8.360067        1.236789       17.471508
 H        16.642727        1.439533       14.812890
 O        17.584286        1.493855       14.812890
 H        17.759359        0.567124       14.812890
 H        18.922386        6.048503        0.636851
 O        19.863945        6.102825        0.636851
 H        20.039019        5.176094        0.636851
 H        19.533981        4.874893       11.465458
 O        20.475540        4.929215       11.465458
 H        20.650614        4.002484       11.465458
 H         6.407434       26.243784       28.100166
 O         7.348991       26.298107       28.100166
 H         7.524066       25.371376       28.100166
 H         3.575696       28.702452        2.711979
 O         4.517253       28.756775        2.711979
 H         4.692329       27.830044        2.711979
 H         4.860755       14.142872       19.127806
 O         5.802312       14.197194       19.127806
 H         5.977388       13.270463       19.127806
 H        19.355396        1.537109       11.220432
 O        20.296955        1.591431       11.220432
 H        20.472029        0.664700       11.220432
 H        11.670065       18.383808       17.797594
 O        12.611623       18.438131       17.797594
 H        12.786698       17.511400       17.797594
 H        13.319406        7.658331       15.198004
 O        14.260963        7.712653       15.198004
 H        14.436039        6.785922       15.198004
 H        18.369671       20.475010       27.649477
 O        19.311230       20.529333       27.649477
 H        19.486303       19.602602       27.649477
 H        21.287809        9.415761       23.182669
 O        22.229368        9.470083       23.182669
 H        22.404442        8.543352       23.182669
 H         5.901290       17.933119       11.785851
 O         6.842848       17.987442       11.785851
 H         7.017923       17.060711       11.785851
 H        13.386209       20.260754       27.160833
 O        14.327766       20.315077       27.160833
 H        14.502842       19.388346       27.160833
 H        12.339366       17.492016       24.384329
 O        13.280924       17.546339       24.384329
 H        13.455999       16.619608       24.384329
 H        25.912699       15.840267       19.891945
 O        26.854258       15.894589       19.891945
 H        27.029331       14.967858       19.891945
 H        18.324305       19.857693       10.365618
 O        19.265863       19.912016       10.365618
 H        19.440937       18.985285       10.365618
 H         8.514194        9.090917       26.555550
 O         9.455752        9.145239       26.555550
 H         9.630828        8.218508       26.555550
 H         4.847208       28.689331        5.569538
 O         5.788765       28.743654        5.569538
 H         5.963841       27.816923        5.569538
 H        25.024193       17.603331       23.123756
 O        25.965752       17.657654       23.123756
 H        26.140825       16.730923       23.123756
 H        19.830433       15.900591       15.977551
 O        20.771992       15.954913       15.977551
 H        20.947065       15.028182       15.977551
 H         3.255784       20.282553       14.323212
 O         4.197341       20.336876       14.323212
 H         4.372416       19.410145       14.323212
 H        14.237765        2.948404        8.055234
 O        15.179323        3.002726        8.055234
 H        15.354399        2.075995        8.055234
 H        17.913549       11.932809       21.671684
 O        18.855108       11.987131       21.671684
 H        19.030182       11.060400       21.671684
 H         3.074403        3.232122       11.259625
 O         4.015960        3.286444       11.259625
 H         4.191035        2.359714       11.259625
 H         0.863119        8.869223       28.132637
 O         1.804677        8.923545       28.132637
 H         1.979752        7.996814       28.132637
 H         8.219530       20.284477       18.728912
 O         9.161088       20.338800       18.728912
 H         9.336164       19.412069       18.728912
 H        24.285288       10.059472        1.680128
 O        25.226847       10.113794        1.680128
 H        25.401920        9.187063        1.680128
 H        25.523836       14.985397       11.059385
 O        26.465395       15.039720       11.059385
 H        26.640469       14.112988       11.059385
 H        22.021763       26.766161        6.505249
 O        22.963322       26.820484        6.505249
 H        23.138395       25.893753        6.505249
 H        14.274643        6.136907       17.449694
 O        15.216201        6.191229       17.449694
 H        15.391276        5.264498       17.449694
 H         8.109042        8.150811        5.211829
 O         9.050600        8.205133        5.211829
 H         9.225676        7.278402        5.211829
 H        11.376266       13.706179       27.082987
 O        12.317824       13.760501       27.082987
 H        12.492900       12.833770       27.082987
 H         9.212419        4.333981        8.042748
 O        10.153976        4.388303        8.042748
 H        10.329052        3.461572        8.042748
 H        28.784584        9.298210        2.376827
 O        29.726143        9.352532        2.376827
 H        29.901217        8.425801        2.376827
 H         2.383551       14.513433       14.201871
 O         3.325109       14.567755       14.201871
 H         3.500184       13.641024       14.201871
 H        20.661659       18.876081        4.745649
 O        21.603218       18.930405        4.745649
 H        21.778292       18.003674        4.745649
 H        25.339542        7.742592       14.561556
 O        26.281101        7.796914       14.561556
 H        26.456175        6.870183       14.561556
 H         9.538625        2.758121        1.263733
 O        10.480183        2.812443        1.263733
 H        10.655258        1.885712        1.263733
 H        23.186892        1.785148        0.710651
 O        24.128450        1.839470        0.710651
 H        24.303524        0.912739        0.710651
 H        24.907030       10.447868       19.669081
 O        25.848589       10.502191       19.669081
 H        26.023663        9.575459       19.669081
 H         4.160357       10.041127       22.157589
 O         5.101915       10.095449       22.157589
 H         5.276990        9.168718       22.157589
 H        13.525749       18.124409       21.492275
 O        14.467307       18.178732       21.492275
 H        14.642383       17.252001       21.492275
 H         9.354727       28.532606       26.776991
 O        10.296285       28.586929       26.776991
 H        10.471360       27.660198       26.776991
 H        10.306065       18.740360       13.467327
 O        11.247622       18.794683       13.467327
 H        11.422698       17.867952       13.467327
 H         9.857143       20.090414        8.377906
 O        10.798701       20.144737        8.377906
 H        10.973777       19.218006        8.377906
 H        21.818241       11.922656       21.728670
 O        22.759800       11.976978       21.728670
 H        22.934874       11.050247       21.728670
 H         4.400551        8.137631       12.138016
 O         5.342109        8.191954       12.138016
 H         5.517184        7.265223       12.138016
 H        22.537745        3.813510       21.436012
 O        23.479303        3.867832       21.436012
 H        23.654377        2.941101       21.436012
 H        24.205763       21.171978        4.149913
 O        25.147322       21.226301        4.149913
 H        25.322395       20.299570        4.149913
 H        13.228000       13.989975       17.886154
 O        14.169558       14.044297       17.886154
 H        14.344633       13.117566       17.886154
 H        18.706316       13.860607        4.547122
 O        19.647875       13.914929        4.547122
 H        19.822948       12.988198        4.547122
 H        22.066086        8.584067       25.173409
 O        23.007645        8.638390       25.173409
 H        23.182718        7.711658       25.173409
 H        20.128881        6.818283        6.436730
 O        21.070440        6.872604        6.436730
 H        21.245514        5.945873        6.436730
 H        22.667051       14.215396       16.350023
 O        23.608610       14.269718       16.350023
 H        23.783684       13.342987       16.350023
 H        28.169012       20.862577        4.620697
 O        29.110571       20.916901        4.620697
 H        29.285645       19.990170        4.620697
 H         9.222024       15.184381       21.377743
 O        10.163582       15.238704       21.377743
 H        10.338657       14.311973       21.377743
 H        22.095673       27.779907       23.349352
 O        23.037231       27.834230       23.349352
 H        23.212305       26.907499       23.349352
 H        15.258345       16.809008       25.700968
 O        16.199903       16.863331       25.700968
 H        16.374977       15.936599       25.700968
 H         9.328437        7.021200       14.570002
 O        10.269995        7.075521       14.570002
 H        10.445070        6.148790       14.570002
 H        22.298588        7.103579        9.637294
 O        23.240147        7.157901        9.637294
 H        23.415220        6.231170        9.637294
 H         7.054106       12.393710       15.447577
 O         7.995663       12.448032       15.447577
 H         8.170738       11.521301       15.447577
 H        10.653462       25.564074       16.436914
 O        11.595020       25.618397       16.436914
 H        11.770096       24.691666       16.436914
 H        24.160812       20.200262       16.772602
 O        25.102371       20.254585       16.772602
 H        25.277445       19.327854       16.772602
 H         8.575137       16.862251       19.479378
 O         9.516695       16.916574       19.479378
 H         9.691771       15.989842       19.479378
 H        10.803393        6.201594       12.175550
 O        11.744951        6.255916       12.175550
 H        11.920027        5.329185       12.175550
 H        17.765347       26.892879       17.360474
 O        18.706905       26.947203       17.360474
 H        18.881979       26.020472       17.360474
 H        26.414650        8.145618       25.264439
 O        27.356209        8.199941       25.264439
 H        27.531282        7.273210       25.264439
 H        18.503149        7.273689       15.788895
 O        19.444708        7.328011       15.788895
 H        19.619781        6.401280       15.788895
 H         5.449978        4.305204       14.371632
 O         6.391536        4.359526       14.371632
 H         6.566611        3.432795       14.371632
 H        17.885921        7.161405        3.007273
 O        18.827480        7.215727        3.007273
 H        19.002554        6.288996        3.007273
 H        12.543829       10.791906       27.069981
 O        13.485387       10.846229       27.069981
 H        13.660462        9.919497       27.069981
 H        26.408894       16.914024        2.189624
 O        27.350452       16.968348        2.189624
 H        27.525526       16.041616        2.189624
 H        18.158604       14.014710       11.237676
 O        19.100163       14.069033       11.237676
 H        19.275236       13.142302       11.237676
 H        16.820612       26.533533        2.099396
 O        17.762171       26.587856        2.099396
 H        17.937244       25.661125        2.099396
 H        22.433414       28.440355        1.876920
 O        23.374973       28.494678        1.876920
 H        23.550047       27.567947        1.876920
 H        24.116335       26.952461       13.055640
 O        25.057894       27.006784       13.055640
 H        25.232967       26.080053       13.055640
 H        13.073178       16.793537        9.172643
 O        14.014736       16.847860        9.172643
 H        14.189812       15.921128        9.172643
 H        18.713438        1.915517        6.649238
 O        19.654997        1.969839        6.649238
 H        19.830070        1.043108        6.649238
 H        16.517303       11.014998        8.150592
 O        17.458862       11.069321        8.150592
 H        17.633936       10.142590        8.150592
 H        21.777397        7.840792        1.424469
 O        22.718956        7.895113        1.424469
 H        22.894030        6.968382        1.424469
 H         6.076662       14.445543       11.538336
 O         7.018219       14.499866       11.538336
 H         7.193295       13.573134       11.538336
 H         0.361095       26.174456       24.742342
 O         1.302653       26.228779       24.742342
 H         1.477728       25.302048       24.742342
 H        26.086807       18.220547        6.938020
 O        27.028366       18.274870        6.938020
 H        27.203440       17.348139        6.938020
 H         7.878209        4.725743        3.449293
 O         8.819766        4.780065        3.449293
 H         8.994842        3.853334        3.449293
 H         0.077948        7.619341       22.331120
 O         1.019506        7.673663       22.331120
 H         1.194581        6.746932       22.331120
 H         7.676510       18.452688        7.908400
 O         8.618068       18.507011        7.908400
 H         8.793142       17.580280        7.908400
 H        12.438091       25.745848       10.974823
 O        13.379649       25.800171       10.974823
 H        13.554725       24.873440       10.974823
 H        19.431456       12.981496        6.620033
 O        20.373014       13.035818        6.620033
 H        20.548088       12.109087        6.620033
 H         9.567247       11.415745        0.272868
 O        10.508805       11.470067        0.272868
 H        10.683881       10.543336        0.272868
 H        23.262606       15.286032       21.957582
 O        24.204165       15.340354       21.957582
 H        24.379238       14.413623       21.957582
 H        13.161033        2.921330       20.956894
 O        14.102591        2.975652       20.956894
 H        14.277666        2.048921       20.956894
 H         4.543371       23.156883       22.680525
 O         5.484928       23.211206       22.680525
 H         5.660004       22.284475       22.680525
 H        22.630438       19.030075       13.881273
 O        23.571997       19.084398       13.881273
 H        23.747070       18.157667       13.881273
 H        26.528322       24.130590       26.274414
 O        27.469881       24.184914       26.274414
 H        27.644955       23.258183       26.274414
 H         3.064245       23.076212       13.291371
 O         4.005803       23.130535       13.291371
 H         4.180878       22.203804       13.291371
 H        23.686308       23.178072       22.640604
 O        24.627867       23.232395       22.640604
 H        24.802940       22.305664       22.640604
 H        11.744043        1.114705       26.155336
 O        12.685601        1.169027       26.155336
 H        12.860677        0.242296       26.155336
 H         8.008479        2.632166        6.572997
 O         8.950037        2.686488        6.572997
 H         9.125113        1.759757        6.572997
 H        16.450626       16.936832        0.315981
 O        17.392185       16.991156        0.315981
 H        17.567259       16.064425        0.315981
 H         0.138925       16.557711       11.979055
 O         1.080483       16.612034       11.979055
 H         1.255558       15.685302       11.979055
 H         8.172015       23.740986       18.531130
 O         9.113573       23.795309       18.531130
 H         9.288649       22.868578       18.531130
 H        10.267309        9.312627       13.389852
 O        11.208867        9.366949       13.389852
 H        11.383943        8.440218       13.389852
 H        22.517372       16.431967       26.670177
 O        23.458931       16.486290       26.670177
 H        23.634005       15.559558       26.670177
 H        26.342466       13.671268       22.608541
 O        27.284025       13.725591       22.608541
 H        27.459099       12.798860       22.608541
 H         8.695664       12.295507       25.307682
 O         9.637222       12.349830       25.307682
 H         9.812298       11.423099       25.307682
 H        21.701141        9.853370       28.568708
 O        22.642700        9.907692       28.568708
 H        22.817774        8.980961       28.568708
 H        28.594788       16.741232       19.186255
 O        29.536346       16.795555       19.186255
 H        29.711420       15.868823       19.186255
 H         8.162038       22.336609       27.565388
 O         9.103596       22.390932       27.565388
 H         9.278671       21.464201       27.565388
 H        12.442477       11.989683       22.113983
 O        13.384035       12.044005       22.113983
 H        13.559111       11.117274       22.113983
 H         2.222116        1.807554       22.815138
 O         3.163674        1.861876       22.815138
 H         3.338749        0.935145       22.815138
 H        15.688281        1.169291       12.535608
 O        16.629839        1.223613       12.535608
 H        16.804914        0.296882       12.535608
 H         7.846790       15.914374       25.532448
 O         8.788348       15.968697       25.532448
 H         8.963423       15.041965       25.532448
 H        14.449847       13.681442       26.547148
 O        15.391405       13.735765       26.547148
 H        15.566481       12.809033       26.547148
 H        19.583694        9.260759       18.319431
 O        20.525253        9.315082       18.319431
 H        20.700327        8.388350       18.319431
 H        11.994656        7.724133        8.541275
 O        12.936213        7.778455        8.541275
 H        13.111289        6.851724        8.541275
 H         0.047592        9.033130       11.429404
 O         0.989149        9.087452       11.429404
 H         1.164225        8.160721       11.429404
 H         2.237183       16.450933        3.428786
 O         3.178741       16.505257        3.428786
 H         3.353816       15.578525        3.428786
 H        24.268074       11.935495        4.511317
 O        25.209633       11.989818        4.511317
 H        25.384706       11.063087        4.511317
 H        14.533229       25.578922       25.750051
 O        15.474787       25.633245       25.750051
 H        15.649862       24.706514       25.750051
 H        18.337812       16.830179        6.369761
 O        19.279371       16.884502        6.369761
 H        19.454445       15.957770        6.369761
 H        13.801047        0.960524        4.013686
 O        14.742605        1.014845        4.013686
 H        14.917681        0.088115        4.013686
 H        13.692510        3.275649       14.244527
 O        14.634068        3.329971       14.244527
 H        14.809143        2.403240       14.244527
 H        16.083773        3.376647       27.398012
 O        17.025331        3.430969       27.398012
 H        17.200405        2.504238       27.398012
 H         8.893408       28.159836        2.103045
 O         9.834966       28.214159        2.103045
 H        10.010041       27.287428        2.103045
 H        10.684141        8.366533        0.396331
 O        11.625699        8.420856        0.396331
 H        11.800775        7.494124        0.396331
 H         4.377014       18.360115        8.312997
 O         5.318572       18.414438        8.312997
 H         5.493647       17.487707        8.312997
 H        17.544590       25.678499       22.071150
 O        18.486149       25.732822       22.071150
 H        18.661222       24.806091       22.071150
 H        12.083444       27.004894        3.912928
 O        13.025002       27.059217        3.912928
 H        13.200077       26.132486        3.912928
 H        28.052839        2.188662       24.151672
 O        28.994398        2.242984       24.151672
 H        29.169472        1.316253       24.151672
 H         2.807888       10.313458       25.593500
 O         3.749446       10.367781       25.593500
 H         3.924521        9.441050       25.593500
 H        27.341862       11.061479       14.765154
 O        28.283421       11.115801       14.765154
 H        28.458494       10.189070       14.765154
 H         7.592162       21.380941       24.053049
 O         8.533719       21.435265       24.053049
 H         8.708795       20.508533       24.053049
 H         9.486077       27.374928       10.352293
 O        10.427635       27.429251       10.352293
 H        10.602711       26.502520       10.352293
 H         2.977810       20.802385       20.061949
 O         3.919367       20.856709       20.061949
 H         4.094442       19.929977       20.061949
 H        24.110762       22.286819        1.462316
 O        25.052320       22.341143        1.462316
 H        25.227394       21.414412        1.462316
 H         3.147273        5.982940        3.710239
 O         4.088830        6.037262        3.710239
 H         4.263906        5.110531        3.710239
 H        27.197428       24.088615       10.691677
 O        28.138987       24.142939       10.691677
 H        28.314060       23.216208       10.691677
 H        27.456890       27.728724        7.826150
 O        28.398449       27.783047        7.826150
 H        28.573523       26.856316        7.826150
 H        14.579634        3.005095       22.914032
 O        15.521192        3.059417       22.914032
 H        15.696267        2.132686       22.914032
 H        19.848234       10.232511       11.586237
 O        20.789793       10.286833       11.586237
 H        20.964867        9.360102       11.586237
 H         3.191952       24.471378        6.689662
 O         4.133510       24.525702        6.689662
 H         4.308585       23.598970        6.689662
 H         5.150819        6.633523        7.456958
 O         6.092376        6.687844        7.456958
 H         6.267452        5.761113        7.456958
 H        19.133280        1.695909        8.524838
 O        20.074839        1.750231        8.524838
 H        20.249912        0.823500        8.524838
 H        19.352951        9.399372        3.631427
 O        20.294510        9.453694        3.631427
 H        20.469584        8.526963        3.631427
 H        22.408695       25.404385        4.601851
 O        23.350254       25.458708        4.601851
 H        23.525328       24.531977        4.601851
 H        19.406309        3.120119       14.468282
 O        20.347868        3.174441       14.468282
 H        20.522942        2.247710       14.468282
 H        18.641430        2.257910        4.089046
 O        19.582989        2.312232        4.089046
 H        19.758062        1.385501        4.089046
 H        15.093347       21.376118        3.139575
 O        16.034904       21.430441        3.139575
 H        16.209980       20.503710        3.139575
 H         2.058900        6.736437       16.522036
 O         3.000457        6.790759       16.522036
 H         3.175532        5.864028       16.522036
 H        17.374916       23.107958        6.522966
 O        18.316475       23.162281        6.522966
 H        18.491549       22.235550        6.522966
 H        11.989174       18.199713       27.276724
 O        12.930732       18.254036       27.276724
 H        13.105807       17.327305       27.276724
 H        14.955053       23.427715       20.105045
 O        15.896611       23.482038       20.105045
 H        16.071686       22.555307       20.105045
 H        25.260658       16.887304       13.084902
 O        26.202217       16.941628       13.084902
 H        26.377291       16.014896       13.084902
 H         6.370426       11.517462       21.915621
 O         7.311983       11.571784       21.915621
 H         7.487059       10.645053       21.915621
 H         6.314776       25.064789        2.631888
 O         7.256333       25.119112        2.631888
 H         7.431409       24.192381        2.631888
 H        15.079685        0.103445       22.073925
 O        16.021244        0.157767       22.073925
